score, centers, sigma, kmax
0.938000,50.000000,0.200000,3000.000000
0.938000,60.000000,0.300000,1700.000000
0.938000,60.000000,0.300000,1800.000000
0.938000,70.000000,0.400000,2200.000000
0.938000,30.000000,0.200000,3500.000000
0.938000,50.000000,0.300000,2700.000000
0.938000,100.000000,0.300000,2700.000000
0.938000,70.000000,0.300000,1500.000000
0.938000,50.000000,0.200000,2500.000000
0.937000,80.000000,0.400000,1300.000000
0.937000,90.000000,0.100000,3900.000000
0.937000,60.000000,0.300000,1900.000000
0.937000,40.000000,0.300000,2700.000000
0.937000,30.000000,0.300000,2900.000000
0.937000,30.000000,0.200000,2800.000000
0.937000,30.000000,0.400000,4100.000000
0.937000,40.000000,0.200000,2600.000000
0.937000,80.000000,0.200000,600.000000
0.936000,30.000000,0.200000,4600.000000
0.936000,80.000000,0.300000,2300.000000
0.936000,80.000000,0.300000,2400.000000
0.936000,90.000000,0.300000,3000.000000
0.936000,100.000000,0.400000,2100.000000
0.936000,70.000000,0.400000,3800.000000
0.936000,50.000000,0.300000,3900.000000
0.936000,100.000000,0.300000,700.000000
0.936000,80.000000,0.300000,1600.000000
0.935000,50.000000,0.200000,2100.000000
0.935000,90.000000,0.100000,3800.000000
0.935000,50.000000,0.400000,4700.000000
0.935000,50.000000,0.300000,4300.000000
0.935000,30.000000,0.200000,4200.000000
0.935000,70.000000,0.300000,3700.000000
0.935000,70.000000,0.300000,2100.000000
0.935000,70.000000,0.400000,4900.000000
0.934000,90.000000,0.400000,4900.000000
0.934000,70.000000,0.300000,1300.000000
0.934000,30.000000,0.300000,2700.000000
0.934000,80.000000,0.200000,900.000000
0.934000,60.000000,0.400000,4800.000000
0.934000,90.000000,0.400000,3400.000000
0.934000,40.000000,0.200000,4000.000000
0.934000,90.000000,0.300000,2600.000000
0.934000,30.000000,0.200000,4000.000000
0.934000,30.000000,0.200000,3800.000000
0.934000,70.000000,0.400000,4500.000000
0.934000,30.000000,0.300000,4700.000000
0.934000,30.000000,0.200000,3300.000000
0.934000,90.000000,0.100000,4900.000000
0.934000,90.000000,0.300000,1300.000000
0.933000,90.000000,0.300000,1600.000000
0.933000,80.000000,0.300000,1100.000000
0.933000,90.000000,0.200000,1700.000000
0.933000,30.000000,0.300000,4600.000000
0.933000,40.000000,0.300000,1700.000000
0.933000,30.000000,0.400000,4300.000000
0.933000,60.000000,0.300000,4300.000000
0.933000,90.000000,0.100000,4600.000000
0.933000,30.000000,0.200000,3400.000000
0.933000,30.000000,0.200000,4300.000000
0.933000,90.000000,0.400000,2700.000000
0.933000,90.000000,0.400000,2500.000000
0.933000,80.000000,0.300000,3200.000000
0.933000,40.000000,0.400000,4800.000000
0.932000,80.000000,0.400000,4500.000000
0.932000,70.000000,0.300000,1200.000000
0.932000,40.000000,0.300000,2100.000000
0.932000,40.000000,0.400000,5000.000000
0.932000,90.000000,0.300000,1200.000000
0.932000,70.000000,0.300000,2700.000000
0.932000,90.000000,0.100000,3700.000000
0.932000,30.000000,0.300000,4500.000000
0.932000,30.000000,0.300000,2600.000000
0.932000,60.000000,0.200000,800.000000
0.932000,40.000000,0.200000,4700.000000
0.932000,30.000000,0.200000,3700.000000
0.932000,90.000000,0.100000,3100.000000
0.932000,50.000000,0.300000,3300.000000
0.931000,70.000000,0.400000,4600.000000
0.931000,30.000000,0.200000,3200.000000
0.931000,30.000000,0.300000,4800.000000
0.931000,60.000000,0.300000,4800.000000
0.931000,90.000000,0.100000,4800.000000
0.931000,70.000000,0.400000,3900.000000
0.931000,30.000000,0.300000,4200.000000
0.931000,40.000000,0.200000,3700.000000
0.931000,40.000000,0.200000,4300.000000
0.931000,30.000000,0.200000,4500.000000
0.931000,30.000000,0.300000,2400.000000
0.931000,50.000000,0.200000,1400.000000
0.931000,30.000000,0.200000,2700.000000
0.930000,30.000000,0.300000,3400.000000
0.930000,30.000000,0.200000,2500.000000
0.930000,60.000000,0.400000,4500.000000
0.930000,40.000000,0.200000,3400.000000
0.930000,40.000000,0.300000,2800.000000
0.930000,50.000000,0.200000,3500.000000
0.930000,50.000000,0.400000,4000.000000
0.929000,90.000000,0.100000,3200.000000
0.929000,60.000000,0.400000,2600.000000
0.929000,60.000000,0.200000,4800.000000
0.929000,40.000000,0.300000,1400.000000
0.929000,60.000000,0.400000,4100.000000
0.929000,70.000000,0.400000,2600.000000
0.929000,50.000000,0.300000,2100.000000
0.929000,80.000000,0.400000,4100.000000
0.929000,90.000000,0.400000,4700.000000
0.929000,30.000000,0.200000,3900.000000
0.929000,50.000000,0.200000,2300.000000
0.929000,90.000000,0.100000,3600.000000
0.929000,50.000000,0.200000,1000.000000
0.929000,70.000000,0.300000,2900.000000
0.929000,50.000000,0.300000,1200.000000
0.929000,50.000000,0.300000,800.000000
0.929000,90.000000,0.100000,4000.000000
0.928000,70.000000,0.300000,1000.000000
0.928000,50.000000,0.200000,3100.000000
0.928000,70.000000,0.200000,3700.000000
0.928000,50.000000,0.200000,4500.000000
0.928000,70.000000,0.300000,2800.000000
0.928000,90.000000,0.400000,2200.000000
0.928000,50.000000,0.400000,2500.000000
0.928000,50.000000,0.300000,2400.000000
0.928000,30.000000,0.200000,3000.000000
0.928000,90.000000,0.100000,4200.000000
0.928000,30.000000,0.200000,3600.000000
0.927000,40.000000,0.300000,1000.000000
0.927000,30.000000,0.200000,2900.000000
0.927000,40.000000,0.200000,4800.000000
0.927000,40.000000,0.200000,4900.000000
0.927000,100.000000,0.400000,2800.000000
0.927000,30.000000,0.400000,2500.000000
0.927000,50.000000,0.200000,800.000000
0.926000,40.000000,0.400000,4400.000000
0.926000,60.000000,0.200000,3200.000000
0.926000,60.000000,0.300000,2000.000000
0.926000,40.000000,0.400000,3900.000000
0.926000,60.000000,0.400000,1700.000000
0.926000,50.000000,0.200000,700.000000
0.926000,90.000000,0.200000,1200.000000
0.926000,60.000000,0.400000,3600.000000
0.926000,100.000000,0.100000,1700.000000
0.926000,50.000000,0.300000,4400.000000
0.926000,40.000000,0.300000,2000.000000
0.926000,90.000000,0.100000,4100.000000
0.926000,90.000000,0.300000,1400.000000
0.926000,40.000000,0.300000,3400.000000
0.925000,100.000000,0.300000,500.000000
0.925000,100.000000,0.300000,2200.000000
0.925000,70.000000,0.400000,2900.000000
0.925000,100.000000,0.300000,2800.000000
0.925000,30.000000,0.200000,2600.000000
0.925000,90.000000,0.200000,600.000000
0.925000,100.000000,0.400000,3400.000000
0.925000,50.000000,0.400000,2400.000000
0.925000,50.000000,0.200000,1200.000000
0.925000,30.000000,0.400000,3500.000000
0.925000,70.000000,0.300000,2000.000000
0.925000,70.000000,0.400000,3500.000000
0.925000,90.000000,0.100000,3500.000000
0.924000,40.000000,0.300000,2600.000000
0.924000,40.000000,0.200000,5000.000000
0.924000,40.000000,0.200000,3600.000000
0.924000,70.000000,0.400000,1600.000000
0.924000,30.000000,0.200000,3100.000000
